facebook.com,157.240.3.35
youtube.com,172.217.14.206
yahoo.com,98.137.246.7
live.com,204.79.197.212
wikipedia.org,198.35.26.96
msn.com,13.82.28.61
baidu.com,220.181.38.148
blogspot.com,172.217.0.9
microsoft.com,40.113.200.201
qq.com,111.161.64.40
taobao.comom,23.217.138.109
amazon.com,176.32.103.205
bing.comm,23.217.138.109
wordpress.com,192.0.78.17
sina.com.cnrg,
tudou.com,106.11.47.19
soso.comm,23.217.138.109
yahoo.co.jp,182.22.59.229
163.com,123.58.180.8
sohu.com,220.181.90.52
ask.com,151.101.42.114
apple.comm,23.217.138.109
adobe.com,193.104.215.58
hao123.comcom,23.217.138.109
twitter.comrg,23.217.138.109
windows.com,104.215.148.63
mozilla.com,63.245.208.194
ebay.com.jp,
youku.com.com,78.142.29.210
pps.tv,101.227.188.172
sdjjdsaf.com,23.217.138.109
xunlei.com,39.104.39.191
andysayler.com,138.197.228.157
56.com,125.88.156.19
wmfo.orgcomrg,23.217.138.109
fc2.com,35.155.180.173
wmfo.or,23.217.138.109
paypal.comp,23.217.138.109
sogou.com,118.191.216.57
tmall.com,140.205.94.193
ku6.com,117.50.1.222
rakuten.co.jp,133.237.61.176
about.com,151.101.194.114
orkut.com.brm,
orkut.com.b,
